year,prefecture,production_quantity_kl
2017,広島,6978.0
2017,徳島,354.0
2017,愛媛,1411.0
2017,愛知,11376.0
2017,新潟,33087.0
2017,東京,2041.0
2017,栃木,6960.0
2017,滋賀,3253.0
2017,熊本,1154.0
2017,石川,5785.0
2017,神奈川,770.0
2017,福井,2425.0
2017,福岡,3521.0
2017,福島,10315.0
2017,秋田,15021.0
2017,群馬,2121.0
2017,茨城,2646.0
2017,長崎,758.0
2017,長野,7289.0
2017,青森,3617.0
2017,静岡,3853.0
2017,香川,813.0
2017,高知,4285.0
2017,鳥取,834.0
