year,prefecture,population_total_k,age_0_14_k,age_15_plus_k
1982,群馬,1877.8,,
1982,茨城,2624.8,,
1982,長崎,1592.2,,
1982,長野,2105.2,,
1982,青森,1524.0,,
1982,静岡,3498.2,,
1982,香川,1009.2,,
1982,高知,834.6,,
1982,鳥取,608.8,,
1982,鹿児島,1798.6,,
1983,三重,1723.0,,
1983,京都,2563.0,,
1983,佐賀,874.4,,
1983,兵庫,5224.8,,
1983,北海道,5637.8,,
1983,千葉,4982.8,,
1983,和歌山,1087.0,,
1983,埼玉,5686.4,,
1983,大分,1241.6,,
1983,大阪,8590.0,,
1983,奈良,1266.6,,
1983,宮城,2138.4,,
1983,宮崎,1166.4,,
1983,富山,1112.0,,
1983,山口,1596.0,,
1983,山形,1258.0,,
1983,山梨,821.4,,
1983,岐阜,2001.4,,
1983,岡山,1898.6,,
1983,岩手,1429.2,,
1983,島根,791.0,,
1983,広島,2787.0,,
1983,徳島,831.0,,
1983,愛媛,1520.8,,
1983,愛知,6361.8,,
1983,新潟,2467.2,,
1983,東京,11744.6,,
1983,栃木,1836.4,,
1983,沖縄,1150.2,,
1983,滋賀,1125.6,,
1983,熊本,1818.8,,
1983,石川,1138.8,,
1983,神奈川,7228.8,,
1983,福井,808.4,,
1983,福岡,4652.6,,
1983,福島,2062.0,,
1983,秋田,1255.2,,
1983,群馬,1892.2,,
1983,茨城,2658.2,,
1983,長崎,1592.8,,
1983,長野,2115.8,,
1983,青森,1524.0,,
1983,静岡,3523.8,,
1983,香川,1013.8,,
1983,高知,836.4,,
1983,鳥取,611.2,,
1983,鹿児島,1805.4,,
1984,三重,1735.0,,
1984,京都,2575.0,,
1984,佐賀,877.2,,
1984,兵庫,5251.4,,
1984,北海道,5658.4,,
1984,千葉,5065.4,,
1984,和歌山,1087.0,,
1984,埼玉,5775.2,,
1984,大分,1245.8,,
1984,大阪,8629.0,,
1984,奈良,1285.8,,
1984,宮城,2157.2,,
1984,宮崎,1171.2,,
1984,富山,1115.0,,
1984,山口,1599.0,,
1984,山形,1260.0,,
1984,山梨,827.2,,
1984,岐阜,2015.2,,
1984,岡山,1907.8,,
